assembly,proteins,sampe,lab,assembler,assembler2,ribodeplete,dereplicate,%Similarity,proteinpredict,Sample_ID,Concentration,Bioanalyzer_conc,RIN,Filter_A,Filter_B,Filter_C,Filter_D,Filter_E,Filter_F,NucleoMag_RNA,Qiagen_AllPrep_RNA_DNA,Qiagen_PowerWater_RNA,Qiagen_RNeasy,Qiagen_RNeasy_Plant_Mini_Kit,RNAqueous-4PCR_Total_RNA_Isolation_,Trizol,Zymo_kit_Direct-zol_RNA_MiniPrep_Plus,Zymo_Quick_DNA_RNA_miniprep_kit,Zymo_RNA_Quick,Columbia_Genome_Center,rRNA_depletion_with_riboPOOLs_AA,rRNA_depletion_with_riboPOOLs,NEBNext_NovaSeq_S4,Genewiz,UGA,Northwest_Genomics_Center,polyA,total,Lab01,Lab02,Lab03,Lab04,Lab05,Lab06,Lab07,Lab08,Lab09,Lab10,Lab11,Lab12,Lab13
HS039_1,43204,A,worden,IDBA-tran/MEGAHIT,combined,no,MMseqs,,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_2,131637,A,thamatrokoln,CLC Genomics Workbench,single,no,CD-HIT-EST,98%,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_3,211603,A,rynearson,rnaSPAdes,single,yes,CD-HIT-EST,99%,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_4,716838,A,rocke,MEGAHIT,single,yes,MMseqs,,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_5,257268,A,jenkins,rnaSPAdes,single,no,CD-HIT-EST,99%,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_6,314537,A,hu,IDBA-tran/MEGAHIT,combined,yes,MMseqs,,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_7,366186,A,harke,Trinity,single,no,no,,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_8,226045,A,dhyrman_gomez,rnaSPAdes,single,no,no,,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_9,203271,A,cohen,MEGAHIT,single,yes,no,,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_10,288588,A,chappell,Trinity/MEGAHIT/rnaSPAdes,combined,yes,MMseqs,,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_11,448403,A,allen,MEGAHIT/rnaSPAdes,combined,yes,MMseqs,,GeneMark,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_12,30194,A,brisbin,MEGAHIT,single,no,CD-HIT-EST,99%,TransDecoder,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS039_13,231778,A,armbrust,Trinity,single,no,MMseqs,99%,Transeq,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS032_CAG,153322,B,,,,,,,,HS032,66,77.0088,7.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HS033_CAG,157111,B,,,,,,,,HS033,144,223.1424,7.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HS034_CAG,113837,B,,,,,,,,HS034,99,244.9062,5.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HS035_CAG,103248,B,,,,,,,,HS035,24.9,19.58634,8.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HS036_CAG,100264,B,,,,,,,,HS036,326.8,95.1,6.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
